S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
43,SIA/MP/MIN/566415/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273064/2026","Titodi Stone (Gitti, Boulder & M-Sand) and Murram",MADHYA PRADESH,ISHWAR SINGH,Category: B2 Sector: Non-Coal Mining Date of Submission: 23/01/2026,SEIAA,Proposal pulled back (withdrawn),"It is a Stone Quarry with a production capacity of 15,000 m3/year Gitti, 22,000 m3/year M-Sand, 3,000 m3/year Boulder and 6,117 m3/year murrum having a lease area of 2.50 hectare, at Khasra No. 157/1 (Govt. land) Village- Titodi, Tehsil- Tarana, District- Ujjain (M.P.)"
44,SIA/MP/MIN/567904/2026,Clearance Type: Application for amendment in ToR (for categories A & B1)/Amendment in EC (for category B2)- Form-3 S/W No.: SW/273863/2026,Chouthiya Stone Quarry,MADHYA PRADESH,santosh kumar dongrdiye,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"It is a Stone Quarry with a production capacity of 5,700 m3/year Stone having a lease area of 1.00 hectare, at Khasra No. 37/2, 37/3, 37/4 & 38/5 (Pvt. land) Village - Chouthiya, Tehsil- Multai, District- Betul (M.P.). Previously EC was issued to us in 2015 at an area of 2.00 hecatres and during lease renewal we have granted an area 1.00 hecatre from collector office Betul. So now we are applying for EC amendment via parivesh portal."
45,SIA/MP/MIN/558264/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242733/2025",Rajeev Kumar Jain Pratappura Stone Mine Area- 1.386 ha,MADHYA PRADESH,RAJEEV JAIN,Category: B1 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,Under Verification,"THIS IS OPEN CAST MINE, AND ITS A OPERATING MINE WITH EC FROM DEIAA AND CTO FROM MPPCB APPLYING FOR REAPPRAISAL TO SEIAA FOR EC. WE HAVE PREPARED THE EIA/EMP FOR THE PROJECT CONSIDERING THE CLUSTER"
46,SIA/MP/MIN/564828/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/236662/2025","Sukha Satpara limestone block (Area 216 ha) with limestone production capacity of 0.1 million TPA At Villages Sukha, Satpara and Jagthar, Tehsil Patharia, District Damoh, Madhya Pradesh",MADHYA PRADESH,HEIDELBERGCEMENT INDIA LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"Sukha Satpara limestone block (Area 216 ha) with limestone production capacity of 0.1 million TPA At Villages Sukha, Satpara and Jagthar, Tehsil Patharia, District Damoh, Madhya Pradesh"
47,SIA/MP/MIN/563952/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270970/2026,BARBASPUR-2 SAND QUARRY (2.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Government of Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024for grant of Mining Lease for Barbaspur-2 Sand Quarry located in Village- Barbaspur-2, Tehsil- Bichhiya, District- Mandla, State- Madhya Pradesh over an area of 2.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The proje"
48,SIA/MP/MIN/565434/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272140/2026","Saykheda Metal Stone Quarry Project at Khasra No. 89 & 90, Village: Saykheda, Tehsil- Sousar, District-Pandhura, State- Madhya Pradesh Area: 2.0 Ha",MADHYA PRADESH,ASHIQULLA KHAN,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"Saykheda Metal Stone Quarry Project at Khasra No. 89 & 90, Village: Saykheda, Tehsil- Sousar, District-Pandhura, State- Madhya Pradesh Area: 2.0 Ha by Shree Ashiq Ulla Khan, S/o Shree Habib Ulla Khan"
49,IA/MP/MIN/563903/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270886/2026","Golighat and Vanadium Block for Graphite and Vanadium Deposit in Aprapan Behera Village, Tehsil & District Betul, Madhya Pradesh : Shanti GD Ispat & Power Limited",MADHYA PRADESH,SHANTI G.D. ISPAT AND POWER PVT. LTD.,Category: B1 Sector: Non-Coal Mining Date of Submission: 17/01/2026,MOEFCC,Under Examination,"The Golighat Graphite & Vanadium Mining Project, proposed by M/s. Shanti G D Ispat and Power Private Limited, is a Category ‘A’ opencast mining project located in Betul District, Madhya Pradesh, over a mining lease area of 82.00 Ha. The project involves mechanized opencast mining with benching and controlled deep-hole blasting, strictly in accordance with the Approved Mining Plan and DGMS guidelines. The project is proposed with a maximum ROM production capacity of 100,258.99 tonnes per annum, w"
50,SIA/MP/MIN/567821/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274401/2026",Bhilwadia Stone (Gitti & M-Sand) Quarry,MADHYA PRADESH,SAMAIRA mine and minerals,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Examination,"This is a Fresh case. Bhilwadia Stone (Gitti & M-Sand) Quarry is situated at Village: Bhilwadia, Tehsil: Shajapur, District: Shajapur and State: Madhya Pradesh over an area of 2.9 Ha. Saidhantik Order Sanctioned to Samayra Mines and Minerals, Partner – Yuvraj Singh Sengar."
51,IA/MP/MIN/566592/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273196/2026","Proposed Naubasta-Kolard Part-B (Helaundha) Limestone Block (Area 252.256 Ha) with Limestone Production Capacity: 0.402 Million TPA, Top Soil: 0.004 Million TPA and Waste: 0.168 Million TPA (Total Excavation: 0.574 Million TPA) located at Villages: Helaundha, Mahkona, Vasudha & Sapti Mafi, Taluka: Nagod, District: Satna, State: Madhya Pradesh of Dalmia Cement (Bharat) Ltd.",MADHYA PRADESH,DALMIA CEMENT (BHARAT) LIMITED,Category: A Sector: Non-Coal Mining Date of Submission: 28/01/2026,MOEFCC,Under Examination,"Dalmia Cement (Bharat) Limited has secured the ""Proposed Naubasta Kolard Part B (Helaundha) Limestone Block (Area 252.256 Ha)"" through e-auction conducted by Govt. of Madhya Pradesh. The letter of Intent for Proposed Limestone Block was issued by the Mineral Resource Department, Madhya Pradesh Govt., Bhopal vide Letter No. 1899/2812527/2025/12-1, dated 07.05.2025 to grant the mining lease for a period of 50 years."
52,SIA/MP/MIN/562568/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269743/2025",Parasi Sand Quarry,MADHYA PRADESH,GAYAPRASAD ANJNE,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Son River, Located at Khasra No. 46/407, Parasi Village, Manpur Tehsil, Umaria District, Madhya Pradesh. Total lease area is 10.00 ha."
53,SIA/MP/MIN/503981/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/214991/2024,Malya Stone Mine,MADHYA PRADESH,ashish gupta,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/11/2024,SEIAA,DELISTED BY SYSTEM (at : ),"It is a stone quarry with a Production capacity of 5035 cubic meters per year Stone having a lease area of 2.0 hectares, previously EC was issued by DEIAA Ratlam at Khasra no. 358/1 Village- Malya, Tehsil- Tal, District- Ratlam (M.P.). Now we are applying for fresh EC in SEIAA as per the Honorable NGT OA 142 of 2022, dated 07/12/2022."
54,IA/MP/RIV/567218/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273772/2026",Chitawad Barrage Major Irrigation Project,MADHYA PRADESH,Mayank Singh,Category: B1 Sector: River Valley and Hydroelectric Projects Date of Submission: 04/02/2026,MOEFCC,Proposal Accepted and Referred to EAC,"The project has been conceived to cater irrigation water to 65000 Ha. of CCA in Ujjain district. Total 124 villages of Mahidpur, Nagda, Unhel and Jharda tehsils of district Ujjain will be benefited by this scheme."
55,IA/MP/THE/565768/2026,Clearance Type: Application for Amendment in EC- Form-4 S/W No.: SW/272392/2026,"Amendment of lx660 MW Satpura Ultra Super-critical Thermal Power Project - (Expansion, Phase-v, Unit no. 12) at Sarni, Tehsil GhorodongrL Village Brohmanwoda Ryt, District Betul, Madhya Pradesh",MADHYA PRADESH,MADHYA PRADESH POWER GENERATING COMPANY LIMITED,Category: A Sector: Thermal Projects Date of Submission: 18/01/2026,MOEFCC,EDS Raised,"The present proposal is for obtaining amendment against details of project in EC and EC Condition nos.: 7 [A] ii 7 [A] iii 7 [C] xxxvii 7 [D] xl 7 I. (v) 7 VI. (i) 7 VII. (ii) and 7 VIII. (i) along with changes/updation  in project details  indicated in the EC  issued on 21.11.2023 for installation of 1x660 MW unit no. 12, at Satpura TPS- Sarni."
56,SIA/MP/MIN/563907/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270482/2025",SINDURKIYA STONE & M-SAND QUARRY (1.150 ha.),MADHYA PRADESH,MAHENDRA SOLANKI,Category: B1 Sector: Non-Coal Mining Date of Submission: 09/01/2026,SEIAA,Standard ToR Granted,"The Sindurkiya Stone & M- Sand Quarry (LOI letter no 760/ Khanij/2025-26, Ratlam dated 14-07-2025) is situated at Khasra no. 355, Village - Sindurkiya, Tehsil - Jaora, District - Ratlam, Madhya Pradesh over an area of 1.150 Ha. The concerned Sindurkiya Stone & M- Sand Quarry Project is proposed by Shri Mahendra Singh Solanki the project proponent is intended to the maximum 20,000 Cubic Meter Per Annum (Stone, & M-sand)."
57,SIA/MP/MIN/479736/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188668/2024,Khod Limestone Mine 58.431 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
58,SIA/MP/IND3/566089/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/264324/2025","Single Super Phosphate Project (1,32,000 TPA)",MADHYA PRADESH,U M SHEETLA AGRO INDUSTRIES PRIVATE LIMITED,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 23/01/2026,SEIAA,EDS raised,"The project proposal is for establishing and operating a Single Super Phosphate (SSP) Plant for production of 1,32,000 TPA Granulated Single Super Phosphate (GSSP). The main raw materials are blended Rock Phosphate and Sulphuric Acid."
59,SIA/MP/MIN/563761/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/247216/2025",JANOLI BUZURG (GITTI) & M-SAND MINE-7.0HA,MADHYA PRADESH,RKJ MINING,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Referred to SEIAA,"This is stone(Gitti) and M-sand(Fresh) mining project, Area-7.0ha, Khasra No.- 595(Govt, Land) at Village- Janoli Buzurg, Tehsil- Tonk Khurd, District - Dewas, Madhya Pradesh"
60,SIA/MP/MIN/564565/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271502/2026,KATA MAL-1 SAND QUARRY (3.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Kata Mal Sand Quarry located in Village- Kata Mal, Tehsil- Bichhiya, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i) of"
61,SIA/MP/MIN/566830/2026,Clearance Type: Application for Corrigendum Form-13 S/W No.: SW/245364/2025,Banikhedi Stone Gitti and M Sand Quarry,MADHYA PRADESH,shree hari infratech,Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Under Verification,"Request for transferring the Environmental Clearance (EC) earlier granted in the name of Shri Dinesh Patidar R/o village Elchi, Tehsil Daloda, District Mandsaur, Madhya Pradesh to new lessee M/s Shree Hari Infratech, Shri Pawan Kumar Patidar (Partner) R/o Tirupati Nagar, Near Shagun Garden, District Mandsaur, Madhya Pradesh related to Banikhedi Stone Gitti and M Sand Quarry, (Khasra No. 889, 890), having an area of 3.00 Ha. situated near village Banikhedi, Tehsil Dalouda & District Mandsaur, Mad"
62,SIA/MP/MIN/565905/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/231315/2025","Polakhal Marble Stone Quarry; Quarry Lease Area- 4.0 ha, Production Capacity-5,000 Cubic meter per year at Khasra No.- 43, Village-Polakhal, Tehsil-Udaynagar, District-Dewas, State-Madhya Pradesh by M/s Reliable Marble Stone",MADHYA PRADESH,RELIABLE MARBLE STONE,Category: B1 Sector: Non-Coal Mining Date of Submission: 23/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Polakhal Marble Stone Quarry LOI Order No. (क्रमांक 1978/ खनिज/ उ. प./ फा. न. 2023-24, देवास, दिनांक-07/10/2023) is situated at Khasra No.-43, near Village- Polakhal, Tehsil- Udaynagar, Dist.- Dewas, State- Madhya Pradesh over an area of 4.0 ha (Under Cluster total area is 13 ha). The project proponent is intended to the maximum production 5,000 Cubic Meter Per Annum. The estimated project cost is Rs. 28 lakhs. The mining plan has been approved by Office of Directorate of Geology and Mining, Reg"
63,SIA/MP/MIN/564447/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269181/2025","Chicholibad Crusher Stone, Murum, M Sand Quarry",MADHYA PRADESH,PRAVIN CHAUHAN,Category: B2 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Under Verification,Murum & Stone Mining Project.
64,SIA/MP/MIN/564163/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271151/2026","Mahagarh Stone(Gitti), M-Sand & Muram Quarry",MADHYA PRADESH,HIRENDRA PRATAPSINGH,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production capacity of Stone(Gitti) 15,000 m3/year, M- sand 30,000 m3/year& Murram-6,500 m3/year having a lease area of 4.00 hectare, at Khasra No. 823/1/1 & 823/1/2 (Pvt. land) Village - Mahagarh, Tehsil- Manasa, District- Neemuch (M.P.)"
65,SIA/MP/MIN/566710/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273322/2026",Rampura Chakaldi stone Quarry,MADHYA PRADESH,RAHUL MALVIYA,Category: B1 Sector: Non-Coal Mining Date of Submission: 24/01/2026,SEIAA,Standard ToR Granted,"This is a crusher Stone quarry. Its Comes Under B1 Category. We are using open cast semi mechanized mining method of production and its annual production is 18000 Cub meter, KHASRA-54/1/1, VILLAGE - Rampura Chakaldi, TAHSIL-Rehti, DISTRICT - Sehore, MADHYA PRADESH"
66,IA/MP/IND3/564895/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271614/2026","Proposed Complex Fertilizer, Phosphoric Acid, Sulphuric Acid (98%) and Beneficiation of Rock Phosphate manufacturing unit coming up at MPIDC Meghnagar, District Jhabua (Madhya Pradesh)",MADHYA PRADESH,Madhyabharat phosphate pRIvate Limited,Category: A Sector: Industrial Projects - 3 Date of Submission: 12/01/2026,MOEFCC,Standard ToR Granted,"Madhya Bharat Phosphate Pvt. Ltd. (MBPPL) has proposed a Complex Fertilizer, Phosphoric Acid, Sulphuric Acid (98%) and Beneficiation of Rock Phosphate manufacturing unit coming up at Plot no. 185/186/187/188/193/194/195 MPIDC Meghnagar, District Jhabua (Madhya Pradesh)."
67,SIA/MP/MIN/563963/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270980/2026,HIRDENAGAR SAND QUARRY (,MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is new Proposal. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Hirdenagar Sand Quarry located in Village- Hirdenagar, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i"
68,SIA/MP/MIN/567669/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274245/2026","Birampura Murram, Stone and M-Sand Quarry",MADHYA PRADESH,sarv bandhu mineral,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"The Environmental Clearance is required for mining project for a targeted production capacity 28000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum."
69,SIA/MP/RIV/566600/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/219246/2024",Maheshwar Janapav Lift Micro Irrigation Project,MADHYA PRADESH,Narmada Valley Development Authority,Category: B1 Sector: River Valley and Hydroelectric Projects Date of Submission: 02/02/2026,SEIAA,EDS raised,"Maheshwar Janapav Micro lift irrigation Project is proposed to Irrigate 30,000 Ha Culturable command area in Mhow Tehsil in Indore District, Pithampur Tehsil in Dhar District, Barwah Tehsil & Maheshwar Tehsil in Khargone District in Madhya Pradesh."
70,SIA/MP/MIN/563120/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270235/2025",BHANJAKHEDI-3 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The proposed project is open cast manual mining. It has been proposed to collect sand, from the Narmada River Bed, Mining will be confined to the allotted lease area from which approximately 36,000 cubic meter/year will be excavated per annum"
71,SIA/MP/MIN/565801/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/143845/2023",Bardiya Murrum Quarry,MADHYA PRADESH,SUNIL YADAV,Category: B1 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"The project is for mining of Murrum for Murrum Quarry in Khasra No. 666, situated in village Bardiya, Tehsil Badnagar, District Ujjain(M.P.) over an area of 2.00 Ha. of Shri. Sunil Yadav, S/o Shri Sureshchandra Yadav."
72,SIA/MP/MIN/564772/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/261697/2025","Barduwaha Stone (Gitti), Boulder, Murrum & M-Sand Quarry",MADHYA PRADESH,ncc limited,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Referred to SEIAA,"The Proposed Barduwaha Stone (Gitti), Boulder, Murrum & M-Sand Quarry site covers an area of 20.00 hectares at Village- Barduwaha, Tehsil- Nagar, District – Chhatarpur (M.P). This Case belongs to the B1 category due to the proposed excavation area is More than 5 hectares."
73,SIA/MP/MIN/565702/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270983/2026",KAMTA MAL SAND QUARRY (4.900Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Mining Lease for Kamta Mal Sand Quarry located in Village- Kamta Mal, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 4.900 Ha area to Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedule"
74,SIA/MP/MIN/558998/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/266413/2025",Bilaua stone(gitti) and M-Sand Quarry,MADHYA PRADESH,vikas yadav,Category: B1 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production capacity of 15,000 m3/year Stone(Gitti) and 30,000 m3/year of M-Sand having a lease area of 3.093 hectare, at Khasra No. 2623/3, 2573/1, 2619/3, 2572, 2619/2, 2620/1 and 2621 (Pvt. land) Village - Bilaua, Tehsil- Dabra, District- Gwalior (M.P.)"
75,SIA/MP/MIN/567692/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274250/2026","Birampura Murram, Stone and M-Sand Quarry(12 peki)",MADHYA PRADESH,sarv bandhu mineral,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"The Environmental Clearance is required for mining project for a targeted production capacity 21000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum."
76,SIA/MP/MIN/567460/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273997/2026","obtaining environment clearance for Bhadawar Dolomite mine (4.310ha) located at Village- Bhadawar, Tehsil- Badwara, Dist.- Katni (MP), with production capacity of ROM - 132634 TPA (Dolomite- 105334 TPA, OB as a soil- 27300 TPA)",MADHYA PRADESH,LAKSHAY MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"The proposed Bhadawar Dolomite Quarry/Deposit is situated at Village- Bhadawar, Tehsil - Badwara, District – Katni, Madhya Pradesh. The quarry lease was sanctioned by vide letter no.–8431-32/Bhaumiki/Gaun Khanij Bhopal dated 04.07.2023 for 30 years QL period over an area 4.310ha. in favor of M/s Lakshay Minerals, Plot no. 225, Industrial area, Amkuhi, Katni, District- Katni,(MP) under Rule 42(D) & 42(j-2) of MP MMR 1996 for the grant of mining lease."
77,IA/MP/MIN/479423/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188307/2024,Dhanora Limestone mine 38.024 Ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/06/2024,MOEFCC,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements (M) Private Limited
78,SIA/MP/MIN/564627/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271561/2026","IMJHAR STONE, BOULDER, MURRUM, M-SAND QUARRY LEASE located at Khasra No.: 465,467, Village- Imjhar, Tehsil- Shahpura, Dist- Jabalpur, State- Madhya Pradesh",MADHYA PRADESH,KUNAL GROVER,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"This is an existing project for which Earlier Environmental clearance was granted by SEIAA Madhya Pradesh in the year 2020, vide their letter no.2960/SEIAA/ dated 14.09.2020 for mine lease area 1.96 ha & Production capacity- 8550 m3/year. Now, Project Proponent is going for expansion of existing production capacity from 8550 m3/year to 29,400 m3/year (stone), M-Sand 12,600 m3/year, Murum 2654 m3/year and the mine lease area will remain the same."
79,SIA/MP/MIN/563295/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270367/2025","Sakari, Khursipur, Arandiya Sand Quarry_21.00 ha",MADHYA PRADESH,OMKAR DUBEY,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Hirri River, Located at Survey No. 671, 01, 507, Sakari, Khursipur, Arandiya Village, Keolari Tehsil, Seoni District, Madhya Pradesh. Total lease area is 21.00 ha."
80,SIA/MP/MIN/565289/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/232315/2025",Devnagar Laterite Deposit,MADHYA PRADESH,Sandeep Yadav,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,"Devnagar Laterite Deposit Project is located at Village – Devnagar, Tehsil – Sihora, District – Jabalpur and State – Madhya Pradesh over an area of 4.66 Ha"
81,SIA/MP/INFRA2/566133/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272292/2026",Ramco Industries Limited (Board Division),MADHYA PRADESH,RAMCO INDUSTRIES LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 23/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"M/s Ramco Industries Limited is proposing to replace the old Fibre Cement Pressure Pipe Plant located at Maksi, Madhya Pradesh, with a new Calcium Silicate Boards & Light Weight Tiles, Fibre Cement Boards & Tiles, Non-Asbestos Panels and Non- Asbestos Cement Products (Roofing Sheets, Building Boards and Accessories) manufacturing line at Plot No. 1-A MPIDC Area, A.B. Road Maksi, District -Shajapur (M.P.) The site is situated along Asian Highway 47 (AH-47)."
82,SIA/MP/MIN/565014/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271871/2026","HATHKHOH STONE (GITTI), BOULDER, MURRUM & M-SAND QUARRY",MADHYA PRADESH,Rajendra sahu (HUF),Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"This is a Stone (Gitti), Boulder, Murrum & M-sand quarry. It comes under the B1 Category. We are using an open cast semi-mechanised mining method, and annual production is 83,225 (Max) M3/Year (Boulder-5125, Stone (Gitti)-40,000, Murrum-28100 & M-Sand-10,000), Khasra no. -212 (Part), Area - 4.00 Ha, Village- Hath Khoh, Tehsil– Deori , District - Sagar (M.P.)."
83,SIA/MP/MIN/561643/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268874/2025",Bedawanya Murrum & Stone for (Gitti) & M-sand Quarry,MADHYA PRADESH,SHRADDHA PAREEK,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The proposed mine site is for Murrum, Stone and M-sand having area 3.9 ha ,Khasra No. 486 Village Bedawanya ,Tehsil Khachrod and District Ujjain (M.P) ."
