ID,Priority_Tier,Final_Score,High_Urgency_Flag,Lead_Score,Enhanced_Score,Intent_Signal,Freshness_Score,Size_Score,Proximity_Score,State,Proposal No.,Project Name,Project Proponent,Location,Sector,Category,Proposal Status,Recommended_Products,Submission_Year,Other Details,Project_Description,Officer_Name,Officer_Phone,Officer_Email,Officer_Address,Officer_Role,Officer_Distance_KM
150,Tier 2 - High Priority,63.6,False,93,51.0,0.3,0.8,0.4,0.7,Uttar Pradesh,SIA/UP/MIN/567520/2026,"“Building Stone As (Khanda, Boulder, Ballast)” in Village- Sirbo, Gata No. 515 (Khand No. 05), Tehsil- Garautha & District: Jhansi (U.P.). Sanctioned lease area – 1.650 ha.Proponent- Shri Narendra Singh Chauhan",narendra singh chauhan,UTTAR PRADESH,Non-Coal,B1,Under Examination,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,"The Building Stone (Khanda, Boulder, Ballast) Mine has been proposed by Prop. Shri Narendra Singh Chauhan S/o Shri Malkhan Singh Chauhan, R/o-Chhapar, Post-Bharosa, Tehsil- Moth District- Jhansi (U.P).mining lease area located at Gata No. 515 Khand No 05 (Lease Area 1.650 Ha) in Village-Sirbo, Tehsil Garautha & District- jhansi, Uttar Pradesh. The mining will be semi-mechanized and the total production will be 20,230 m3 per annum.",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
151,Tier 2 - High Priority,63.6,False,72,60.0,0.7,0.3333333333333333,0.6,1.0,Maharashtra,SIA/MH/INFRA2/565499/2026,"Residential & Commercial project at village- Hadapsar, Taluka- Haveli, District- Pune by M/s Tupe Developer",TUPE DEVELOPERS,MAHARASHTRA,INFRA-2,B1,Standard ToR Granted,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B1 Sector: INFRA-2 Date of Submission: 19/01/2026,"Expansion In Residential and Commercial Project At- New S. No. 202/1/2/1, 202/1/2/2, 202/1/2/3, 202/1/2/4, 202/1/2/5 (old S. No. 202A, 202B/1/1 to 202B/1/7, 202/B/2, 202/B/3, 202/B/4) village- Hadapsar, Taluka- Haveli, District- Pune by M/s Tupe Developers. EC was received on 10.09.2024 for total BUA – 374143.93 sq.m. (FSI 245405.68sq.m.+ Non-FSI 128738.25 sq.m.)",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
152,Tier 2 - High Priority,63.5,False,95,50.0,0.3,0.6666666666666667,0.4,1.0,Madhya Pradesh,SIA/MP/MIN/565289/2026,Devnagar Laterite Deposit,Sandeep Yadav,MADHYA PRADESH,Non-Coal,B1,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,"Devnagar Laterite Deposit Project is located at Village – Devnagar, Tehsil – Sihora, District – Jabalpur and State – Madhya Pradesh over an area of 4.66 Ha",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
153,Tier 2 - High Priority,63.5,False,95,50.0,0.3,0.6666666666666667,0.4,1.0,Madhya Pradesh,SIA/MP/MIN/549440/2026,"Machigarh Pyrophyllite and Diaspore Deposit, Lease Area 10.070 Ha(Mining area - 10.0 & Approach Road -0.070 Ha) by M/s. Jindutt Minerals Pvt. Ltd..",JINDUTT MINERALS PVT. LTD.,MADHYA PRADESH,Non-Coal,B1,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,"Machigarh Pyrophyllite and Diaspore Deposit, Lease Area 10.070 Ha (Mining area - 10.0 & Approach Road -0.070 Ha) by M/s. Jindutt Minerals Pvt. Ltd.. It is proposed project having production capacity 50,119 TPA where mineral will be extracted using open cast semi mechanized method. The project falls under Category “B” Project or activity 1(a) (i); Mining of Mineral as per EIA notification 2006 and its amendments. The State Govt. vide its letter no. F 3-45/2018/12/1 dated 03.02.2025. The QL area h",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
154,Tier 2 - High Priority,63.5,False,95,50.0,0.3,0.4666666666666667,0.7,1.0,Uttar Pradesh,IA/UP/INFRA1/566362/2026,Development of 6867.66 acre (approx.) Industrial Corridor Dhuriyapar District Gorakhpur Uttar Pradesh by Gorakhpur Industrial Development Authority (GIDA),GORAKHPUR INDUSTRIAL DEVELOPMENT AUTHORITY (GIDA),UTTAR PRADESH,INFRA-1,A,Under Examination,"Bitumen, Diesel, Road Construction Materials",2026,Category: A Sector: INFRA-1 Date of Submission: 23/01/2026,The proposed project involves development of Industrial Corridor Dhuriyapar of 6867.66 Acres (approx.) at Gorakhpur Industrial Development Authority (GIDA) in Uttar Pradesh. The project site will spread over an area of 6867.66 Acres.,Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
155,Tier 2 - High Priority,63.5,False,95,50.0,0.3,0.6666666666666667,0.4,1.0,Madhya Pradesh,SIA/MP/MIN/567176/2026,SARASPURA STONE QUARRY,KULDEEP PATIDAR,MADHYA PRADESH,Non-Coal,B1,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,"It is a Stone Quarry with a production capacity of 5,000 m3/year Gitti, 5,000 m3/year M-Sand & Max. 3,509 m3/year Murrum having a lease area of 1.70 hectare, at Khasra No. 6 (Govt. land) Village - Saraspura, Tehsil- Sitamau, District- Mandsaur (M.P.)",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
156,Tier 2 - High Priority,63.4,False,76,58.0,0.3,0.9333333333333332,0.4,1.0,Haryana,IA/HR/IND3/549455/2026,Proposed establishment of Resin Manufacturing Unit Within the Existing Plywood Manufacturing industry of M/s. Kunjan Wood Industries,KUNJAN WOOD INDUSTRIES,HARYANA,Industrial,B2,Under Examination,"Furnace Oil, Diesel, Lubricants",2026,Category: B2 Sector: Industrial Projects - 3 Date of Submission: 06/02/2026,Proposed establishment of Resin Manufacturing Unit Within the Existing Plywood Manufacturing Industry of M/s. Kunjan Wood Industries,Retail Regional Manager - Panipat,0180-2681328,panipat.retrm@hpcl.in,"E-22, Court Road, Industrial Area, Panipat - 132101",Retail Regional Manager,0.0
157,Tier 2 - High Priority,63.3,False,85,54.0,0.3,0.9,0.4,0.7,Madhya Pradesh,SIA/MP/MIN/563343/2026,Baskhala Boulder Stone Mine,associated builders & CONTRACTORS,MADHYA PRADESH,Non-Coal,B2,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/02/2026,"Baskhala Boulder Stone Mine at Khasra No. 99, 167, Village: Baskhala, Tehsil: Kotma, District: Anuppur, State: Madhya Pradesh (Lease Area: 1.639 Ha.)",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
158,Tier 2 - High Priority,63.3,False,85,54.0,0.3,0.8333333333333334,0.4,0.9,Madhya Pradesh,SIA/MP/MIN/567828/2026,"Birampura Murram, Stone and M-Sand Quarry",B S MINES AND MINERALS,MADHYA PRADESH,Non-Coal,B1,EDS raised,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/02/2026,"The project is for mining of Stone (Gitti), Murrum & M Sand in Khasra No. 13 PEKI over an area of 4.0000 Ha., situated near village Birampura, Tehsil Manawar, District Dhar, Madhya Pradesh of M/s B. S. Mines & Minerals Partner Shri Anup Singh. The Environmental Clearance is required for mining project for a targeted production capacity 21000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum.",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
159,Tier 2 - High Priority,63.3,False,85,54.0,0.3,0.8666666666666667,0.4,0.8,Madhya Pradesh,SIA/MP/MIN/567904/2026,Chouthiya Stone Quarry,santosh kumar dongrdiye,MADHYA PRADESH,Non-Coal,B2,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"It is a Stone Quarry with a production capacity of 5,700 m3/year Stone having a lease area of 1.00 hectare, at Khasra No. 37/2, 37/3, 37/4 & 38/5 (Pvt. land) Village - Chouthiya, Tehsil- Multai, District- Betul (M.P.). Previously EC was issued to us in 2015 at an area of 2.00 hecatres and during lease renewal we have granted an area 1.00 hecatre from collector office Betul. So now we are applying for EC amendment via parivesh portal.",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
160,Tier 2 - High Priority,63.3,False,85,54.0,0.3,0.8666666666666667,0.4,0.8,Maharashtra,SIA/MH/MIN/560038/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Samrudhaditya Devidas Choudhary located at gut no. 388 part, Village Erandgaon, Taluka Malegaon, District Nashik",samruddhaditya devidas chaudhary,MAHARASHTRA,Non-Coal,B2,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Samrudhaditya Devidas Choudhary located at gut no. 388 part, Village Erandgaon, Taluka Malegaon, District Nashik",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
161,Tier 2 - High Priority,63.3,False,85,54.0,0.3,0.6666666666666667,0.6,1.0,Madhya Pradesh,SIA/MP/MIN/567026/2026,Rozibeh Stone Quarry (1.560 Ha),shree balaji stone crasher,MADHYA PRADESH,Non-Coal,B1,EDS raised,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,"Village: Rozibeh, Tehsil: Huzur, District: Bhopal, State: Madhya Pradesh",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
162,Tier 2 - High Priority,63.3,False,78,57.0,0.3,0.6333333333333333,0.8,1.0,Maharashtra,IA/MH/CMIN/566367/2026,Expansion of New Majri UG to OC mine,Western Coalfields Limited,MAHARASHTRA,Coal,A,Under Examination,"Diesel, Lubricants",2026,Category: A Sector: Coal Mining Date of Submission: 28/01/2026,"New Majri UG to OC is an existing coal mine of WCL. The mine is located in Shivaji Nagar Village, Bhadrawati Tehsil, Chandrapur District of Maharashtra State. The mine was granted EC for production capacity of 3.00 MTPA within ML Area of 706.28 ha vide letter no. J-11015/25/2008-IA-II(M) dated 01.01.2021. Present proposal is for amendment of certain conditions of existing EC",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
163,Tier 2 - High Priority,63.3,False,85,54.0,0.3,0.6666666666666667,0.6,1.0,Madhya Pradesh,SIA/MP/MIN/567008/2026,Rojibe Stone Quarry-3.0 Ha,shree balaji stone crasher,MADHYA PRADESH,Non-Coal,B1,EDS raised,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,"Village- Rojibe, Tehsil- Huzur, District- Bhopal, State- Madhya Pradesh",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
164,Tier 2 - High Priority,63.1,False,75,58.0,0.3,0.8,0.6,1.0,Madhya Pradesh,SIA/MP/MIN/567692/2026,"Birampura Murram, Stone and M-Sand Quarry(12 peki)",sarv bandhu mineral,MADHYA PRADESH,Non-Coal,B1,Standard ToR Granted,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,"The Environmental Clearance is required for mining project for a targeted production capacity 21000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum.",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
165,Tier 2 - High Priority,63.1,False,82,55.0,0.3,0.8333333333333334,0.4,1.0,Maharashtra,SIA/MH/INFRA2/567787/2026,"Proposed Redevelopment Project Located at C.T.S. No. 1289/1, 1290, 1291, 1292 & 1294, Yerawada, Tal. Haveli, Dist. Pune Maharashtra by Kalpana Cooperative Housing Society Ltd. Through BramhaCorp Ltd.",BRAMHACORP LIMITED,MAHARASHTRA,INFRA-2,B2,Under Verification,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B2 Sector: INFRA-2 Date of Submission: 03/02/2026,FSI Area-32909.85 Sq.m Non FSI Area-16380.23 Sq.m Total Built Up Area-49290.08 Sq.m,Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
166,Tier 2 - High Priority,63.1,False,75,58.0,0.3,0.9333333333333332,0.4,1.0,Uttar Pradesh,SIA/UP/MIN/568254/2026,"Proposed Building Stone (Sand stone) mine, at Gata No./Araji No. /Plot no. – 01, Area 0.809 ha. (2.0 Acres) at Village – Ahirupur, Tehsil- Chunar, District- Mirzapur, Uttar Pradesh of M/s Om Sai Construction.",MS OM SAI CONSTRUCTION,UTTAR PRADESH,Non-Coal,B1,SUBMITTED,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/02/2026,"Proposed Production: 8090 m3 annum or 20,225 TPA Area 0.809 ha. (2 Acres) 1(a), Category- B (B1)",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
167,Tier 2 - High Priority,63.1,False,75,58.0,0.3,0.8,0.6,1.0,Madhya Pradesh,SIA/MP/MIN/567669/2026,"Birampura Murram, Stone and M-Sand Quarry",sarv bandhu mineral,MADHYA PRADESH,Non-Coal,B1,Standard ToR Granted,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,"The Environmental Clearance is required for mining project for a targeted production capacity 28000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum.",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
168,Tier 2 - High Priority,63.1,False,82,55.0,0.3,0.8333333333333334,0.4,1.0,Maharashtra,SIA/MH/INFRA2/567303/2026,"Proposed Residential Project - Gami Parkview at Plot no. 06, Sector 07 Sanpada, Navi Mumbai by M/s. Lal Gebi Infra Pvt Ltd",LAL GEBI INFRA PVT. LTD.,MAHARASHTRA,INFRA-2,B2,Under Verification,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B2 Sector: INFRA-2 Date of Submission: 03/02/2026,This is a residential cum commercial project,Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
169,Tier 2 - High Priority,63.1,False,68,61.0,0.3,0.9,0.6,1.0,Maharashtra,SIA/MH/IND3/567810/2026,M/s .SMD Speciality Chemical LLP,SMD SPECIALITY CHEMICALS LLP,MAHARASHTRA,Industrial,B1,Standard ToR Granted,"Furnace Oil, Diesel, Lubricants",2026,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 05/02/2026,"SMD Specialty chemicals LLP engages in the development of Active Pharmaceutical Ingredients (API) and New Chemical Entities , API intermediates, Regulatory Starting Materials , Basic Starting Materials, Key Building Blocks, for use in clinical testing, a veterinary anthelmintic to treat and control roundworm, tapeworm, and fluke infections in domestic animals and commercial production. In addition to process R&D, we provide stability studies, scale-up and process optimization, process validation",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
170,Tier 2 - High Priority,63.1,False,82,55.0,0.3,0.8333333333333334,0.4,1.0,Uttar Pradesh,SIA/UP/INFRA2/567801/2026,"Proposed IT/ITES Park at Plot No.6A, Techzone-2, Greater Noida, U.P. by M/s Agbros Builders & Engineers Private Limited",agbros builders & engineers pvt ltd,UTTAR PRADESH,INFRA-2,B2,Under Verification,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B2 Sector: INFRA-2 Date of Submission: 03/02/2026,"M/sAgbros Builders & Engineers Private Limitedhas proposed to develop anIT/ITES Park at Plot No.6A, Techzone-2, Greater Noida, U.P. The proposed project will comprise of IT/ITES, Commercial, Residential & Institutional building. It is kind of Mixed Land use project.Project Proponent will develop IT Office, Residential &Institutional facilities etc. The land documents have been enclosed as Annexure I.Theproject will bespread over in total Plot Area-60658Sq.mt. &its built-up- Area is 61294.106 Sq.",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
171,Tier 2 - High Priority,62.8,False,95,49.0,0.3,0.6333333333333333,0.4,1.0,Madhya Pradesh,SIA/MP/MIN/567035/2026,Rafadpur Stone Quarry,GOPAL AGARWAL,MADHYA PRADESH,Non-Coal,B1,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,"It is a Stone quarry with a production capacity of Max. 25,000 m³/year Stone Gitti having a lease area of 1.00 hectares , previously EC was issued by DEIAA Gwalior at Khasra No.- 133 (Govt. Land) Village - Rafadpur, Tehsil- Dabra, District- Gwalior (M.P.). Later we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for 0 to 5 hectares whose application number is SIA/MP/MIN/461137/2024 and subsequent ca",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
172,Tier 2 - High Priority,62.8,False,60,64.0,0.7,0.4,0.7,1.0,Uttar Pradesh,IA/UP/IND2/566243/2026,RANA SUGARS LIMITED,RANA SUGARS LIMITED,UTTAR PRADESH,Date,A,INTIMATED,"Diesel, Lubricants",2026,Category: A Sector: Date of Submission: 21/01/2026,Expansion of an existing 150 KLD grain based distillery to produce 225 KLD of Rectified Spirit (RS)/Extra Neutral Alcohol (ENA)/Ethanol with No Increase in Pollution Load.,Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
173,Tier 2 - High Priority,62.8,False,60,64.0,0.3,0.8666666666666667,0.8,1.0,Uttar Pradesh,IA/UP/RIV/567614/2026,Sukhnai Off-stream Closed Loop PSP,HINDUJA RENEWABLES ENERGY PRIVATE LIMITED,UTTAR PRADESH,River,A,Proposal pulled back (withdrawn),"Diesel, Lubricants",2026,Category: A Sector: River Valley and Hydroelectric Projects Date of Submission: 04/02/2026,Sukhnai PSP is an Off-stream Closed Loop pumped storage scheme with an installed capacity of 1000 MW. It comprises of two reservoirs which are to be newly constructed.,Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
174,Tier 2 - High Priority,62.8,False,88,52.0,0.7,0.1999999999999999,0.4,1.0,Maharashtra,IA/MH/IND2/563775/2026,"Proposed Expansion of Existing Grain Based Distillery from 40 KLPD (40 KL x 365 days = 14,600 KLPA) to 203 KLPD (203 KL x 365 days = 74,095 KLPA) with the addition of 12 KLPD (12 KL x 365 days = 4,380 KLPA) Malt Spirit along with 7.0 MW Captive Power Plant located at Plot No- A 96, MIDC Paithan, Mudhalwadi, Paithan Road, Tal Paithan, District – Chhatrapati Sambhajinagar, State – Maharashtra, Pin Code – 431148 by M/s. Minakshi Agro Industries LLP.",MINAKSHI AGRO INDUSTRIES LLP,MAHARASHTRA,Industrial,A,Proposal Accepted and Referred to EAC,"Furnace Oil, Diesel, Lubricants",2026,Category: A Sector: Industrial Projects - 2 Date of Submission: 15/01/2026,"M/s. Minakshi Agro Industries LLP has already obtained Environmental Clearance in the name of Minakshi from Morya vide EC Identification No. SIA/MH/IND2/500860/2025; dated 24.10.2025. The industry is presently operating an existing 40 KLPD Grain Based Distillery (equivalent to 14,600 KLPA). The company now proposes an expansion to 203 KLPD Grain Based Distillery (74,095 KLPA) and 12 KLPD Malt Spirit Plant (4,380 KLPA) along with a 7.0 MW Captive Power Plant.",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
175,Tier 2 - High Priority,62.8,False,95,49.0,0.3,0.6333333333333333,0.4,1.0,Haryana,SIA/HR/MIN/563396/2026,"Sand Mining project at Dabar Ki Par Block, District Karnal ,Haryana",MAXX MINING COMPANY,HARYANA,Non-Coal,B1,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,"The Dabar ki Par Sand Mining Project is located in villages Dabar Ki Par,Mustafabad & Dhakwala (North) of District Karnal having an area of 84.79 ha and total proposed production 40,75,000 TPA",Retail Regional Manager - Panipat,0180-2681328,panipat.retrm@hpcl.in,"E-22, Court Road, Industrial Area, Panipat - 132101",Retail Regional Manager,0.0
176,Tier 2 - High Priority,62.6,False,85,53.0,0.3,0.8666666666666667,0.4,0.7,Maharashtra,SIA/MH/MIN/563367/2026,"Environmental Clearance for Basalt Stone Quarry of Shri. Ashish Vijay Dani located at Gut no. 289 part of village- Halkarni, Tal. Chandgad, Dist. Kolhapur",ashish vijay dani,MAHARASHTRA,Non-Coal,B2,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"Environmental Clearance for Basalt Stone Quarry of Shri. Ashish Vijay Dani located at Gut no. 289 part of village- Halkarni, Tal. Chandgad, Dist. Kolhapur",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
177,Tier 2 - High Priority,62.6,False,85,53.0,0.3,0.8666666666666667,0.4,0.7,Maharashtra,SIA/MH/MIN/563015/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Sachin Somnath Naikwadi located at gut no. 131/1/B/2 Part, Village Chinchani (Wangi), Taluka Kadegaon, District Sangli",sachin somnath naykawadi,MAHARASHTRA,Non-Coal,B2,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Sachin Somnath Naikwadi located at gut no. 131/1/B/2 Part, Village Chinchani (Wangi), Taluka Kadegaon, District Sangli",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
178,Tier 2 - High Priority,62.6,False,85,53.0,0.3,0.8666666666666667,0.4,0.7,Maharashtra,SIA/MH/MIN/561787/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Santosh Chintamani Chaugule located at gut no. 217 part, Village Bhoyara, Taluka Latur, District Latur",santosh chintamani chaugule,MAHARASHTRA,Non-Coal,B2,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"Environmental Clearance for the Basalt Stone Quarry of Shri. Santosh Chintamani Chaugule located at gut no. 217 part, Village Bhoyara, Taluka Latur, District Latur",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
179,Tier 2 - High Priority,62.6,False,78,56.0,0.3,0.6666666666666667,0.7,1.0,Madhya Pradesh,IA/MP/RIV/557462/2026,CHENTIKHEDA MAJOR IRRIGATION PROJECT,Dinesh kumar ratnakar,MADHYA PRADESH,River,A,Under Examination,"Diesel, Lubricants",2026,Category: A Sector: River Valley and Hydroelectric Projects Date of Submission: 29/01/2026,Irrigation Project,Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
180,Tier 2 - High Priority,62.4,False,82,54.0,0.3,0.8,0.4,1.0,Maharashtra,SIA/MH/INFRA2/567645/2026,PROPOSED REDEVELOPMENT OF RESIDENTIAL COMPLEX WITH ALLIED AMENITIES AT HP NAGAR EAST HOUSING COMPLEX AT CHEMBUR,HINDUSTAN PETROLEUM CORPORATION LIMITED,MAHARASHTRA,INFRA-2,B2,Under Verification,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B2 Sector: INFRA-2 Date of Submission: 02/02/2026,Building Construction Project,Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
181,Tier 2 - High Priority,62.4,False,82,54.0,0.3,0.8,0.4,1.0,Maharashtra,SIA/MH/INFRA2/567607/2026,"“Slum Rehabilitation Scheme” under reg. 33(11) of DCPR-2034 on plot bearing C.T.S No. 4947B of Village –Kolekalyan, Taluka- Andheri (MSD), Santacruz (East), Mumbai, Maharashtra, India by M/s. Swastik Realty Private Limited",SWASTIK REALTY PRIVATE LIMITED,MAHARASHTRA,INFRA-2,B2,Under Verification,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B2 Sector: INFRA-2 Date of Submission: 02/02/2026,Slum Rehabilitation Scheme,Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
